0
G__C_count
C_TCC_count
GC_A_count
CT_AG_count
TC_GG_count
AT__CG_count
CA__CT_count
CA_TTA_count
AA__AGG_count
GC__TAT_count
GT__ACT_count
TT__ACA_count
TAT_A_count
AAA_CG_count
GCC_AT_count
TAG_AA_count
ATG__CA_count
TAA__CA_count
dG_total_277
Tx_rate_138
Tx_rate_140
PSSM_Motif 3_183
PSSM_Motif 5_216
PSSM_Motif 6_199
PSSM_Motif 6_209
PSSM_Motif 7_166
PSSM_Motif 8_104
PSSM_Motif 9_222
folding_energy_window_40_98
folding_energy_window_40_114
folding_energy_window_40_121
folding_energy_window_40_128
folding_energy_window_40_132
folding_energy_window_40_156
folding_energy_window_40_198
folding_energy_window_40_259
folding_energy_window_40_260
folding_energy_window_40_296
folding_energy_window_40_332
folding_energy_window_40_386
