0
T_GC_count
T_TTT_count
A__AAG_count
A__CAG_count
AT_C_count
CC__T_count
AG_CTT_count
GC_GCA_count
AT__CTC_count
GT__ACT_count
TA__AGG_count
GAC_C_count
TAT__C_count
AAT_CA_count
CAA_AT_count
CAA_GA_count
CAA__CG_count
dG_total_177
Tx_rate_135
Tx_rate_143
Tx_rate_301
PSSM_Motif 1_211
PSSM_Motif 5_216
PSSM_Motif 6_168
PSSM_Motif 6_199
PSSM_Motif 7_322
PSSM_Motif 8_164
PSSM_Motif 11_151
PSSM_Motif 12_167
folding_energy_window_40_113
folding_energy_window_40_125
folding_energy_window_40_156
folding_energy_window_40_171
folding_energy_window_40_183
folding_energy_window_40_241
folding_energy_window_40_292
folding_energy_window_40_297
folding_energy_window_40_304
folding_energy_window_40_332
folding_energy_window_40_385
